Time,AX,AY,AZ,GX,GY,GZ,Temp,,,,,spped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3657,1.36,9.56,-2.62,-2.76,10.2,2.67,18.24,,,36,,0.296,29.91778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3693,3,9.79,-4.23,-6.32,-86.34,1.63,18.24,,,32,,0.34416,30.26194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3725,0.33,9.57,-2.68,-6.37,-31.79,0.75,18.24,,,32,,0.31328,30.57522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3757,0.25,9.78,-3.22,-6.69,-21.94,2.75,18.23,,,32,,0.30624,30.88146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3789,0.43,9.94,-1.97,-6.35,-9.33,5.1,18.23,,,33,,0.31296,31.19442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3822,0.63,9.2,-2.77,-6.58,-31.39,9.21,18.23,,,32,,0.32802,31.52244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3854,-0.29,9.07,-1.98,-6.15,13.73,11.6,18.24,,,32,,0.2944,31.81684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3886,2.16,8.87,-2.69,-8.49,-20.9,12.92,18.24,,,33,,0.29024,32.10708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3919,-0.83,10.06,-0.49,-10.34,2,13.51,18.24,,,32,,0.29271,32.39979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3951,0.04,10.48,-1.26,-7.27,26.58,16.05,18.23,,,32,,0.32192,32.72171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3983,0.67,9.32,-2.34,-2.43,65.95,13.53,18.24,,,33,,0.33536,33.05707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4016,1.1,9.86,-2.72,3.18,36.63,10.2,18.25,,,35,,0.30756,33.36463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4051,0.9,9.17,-3.08,13.4,101.27,2.38,18.25,,,32,,0.3451,33.70973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4083,3.33,8.32,-4.01,18.38,89.04,-4.67,18.25,,,33,,0.29344,34.00317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4116,2.92,8.66,-4.05,19.33,25.56,-10.87,18.24,,,32,,0.27456,34.27773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4148,1.79,9.22,-3.38,19.59,26.9,-15.3,18.26,,,32,,0.27712,34.55485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4180,2.35,9.75,-2.66,19.8,-10.73,-17.27,18.27,,,33,,0.29504,34.84989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4213,0.75,10.25,-2.77,17.91,-43.73,-17.57,18.26,,,32,,0.32175,35.17164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4245,-0.4,10.56,-2.03,16.23,-15.21,-15.79,18.26,,,32,,0.328,35.49964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4277,0.27,9.51,-2.43,14.41,34.14,-13.07,18.27,,,32,,0.33792,35.83756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4309,2.05,9.24,-3.68,8.87,0.09,-10.35,18.27,,,33,,0.30432,36.14188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4342,0.78,9.24,-3.72,1.71,-65.31,-7.68,18.26,,,35,,0.30492,36.4468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4377,0.68,9.06,-3.75,-5.56,-28.06,-6.64,18.27,,,33,,0.3234,36.7702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4410,0.45,10.01,-1.84,-9.27,-35.45,-4.35,18.26,,,32,,0.29898,37.06918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4442,0,9.6,-2.13,-9.95,-16.99,-1.69,18.25,,,32,,0.32032,37.3895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4474,1.22,9.11,-3.42,-12.64,-59.89,2.93,18.27,,,33,,0.3072,37.6967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4507,1.41,9.65,-3.11,-14.27,-92.82,7.08,18.27,,,32,,0.30063,37.99733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4539,0.29,9.29,-3.33,-12.06,-49.82,8.46,18.29,,,32,,0.3088,38.30613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4571,-0.53,9.48,-2.32,-8.63,-0.52,11.56,18.28,,,33,,0.29728,38.60341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4604,0.68,9.38,-1.91,-4.24,-1.94,16.44,18.29,,,32,,0.31284,38.91625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4636,0.42,9.09,-2.25,-0.61,-66.56,21.95,18.29,,,32,,0.30016,39.21641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4668,-0.73,9.39,-2.32,4.06,-23.59,24.78,18.26,,,32,,0.29088,39.50729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4700,1.86,9.4,-3.45,6.9,-18.66,24.56,18.27,,,36,,0.30048,39.80777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4736,0.72,9.6,-2.68,5.1,-111.24,23.62,18.27,,,32,,0.3384,40.14617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4768,0.75,9.22,-2.54,8.69,-51.02,19.66,18.27,,,33,,0.3072,40.45337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4801,0.37,9.24,-2.82,8.35,-76.72,16.29,18.27,,,32,,0.30426,40.75763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4833,-0.43,9.32,-3,9.05,-49.11,12.93,18.28,,,32,,0.29568,41.05331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4865,0.28,9.38,-3.02,9.77,-64.37,10.93,18.29,,,32,,0.29824,41.35155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
